date,equity,n_pos
2020-01-13,101853919.31165001,20
2020-01-14,101861126.31165001,20
2020-01-15,102014480.31165001,20
2020-01-16,103458029.31165001,20
2020-01-17,102815157.31165001,20
2020-01-20,101317737.84740001,19
2020-01-21,98532623.55765,17
2020-01-22,99358279.32895,16
2020-01-23,99119941.32895,16
2020-01-28,95869232.56715,13
2020-01-29,96661938.56715,13
2020-01-30,94555379.07965,12
2020-01-31,92573550.14214998,6
2020-02-03,93582434.14214998,6
2020-02-04,93805806.14214998,6
2020-02-05,93424038.14214998,6
2020-02-06,93214430.14214998,6
2020-02-07,93522764.14214998,6
2020-02-10,93109200.05965,4
2020-02-11,92837454.05965,4
2020-02-12,93541214.05965,4
2020-02-13,91954406.78885001,20
2020-02-14,92310378.38260001,19
2020-02-17,92098663.38260001,19
2020-02-18,90761674.38260001,19
2020-02-19,92027548.38260001,19
2020-02-20,90842066.46380001,18
2020-02-21,88637085.80430001,15
2020-02-24,85280455.824,8
2020-02-25,86069146.824,8
2020-02-26,85853745.824,8
2020-02-27,83970142.04049999,4
2020-02-28,83116221.73549998,1
2020-03-02,83192073.73549998,1
2020-03-03,83192073.73549998,1
2020-03-04,83305851.73549998,1
2020-03-05,83305851.73549998,1
2020-03-06,83204673.73549998,1
2020-03-09,82989947.18149997,0
2020-03-10,82989947.18149997,0
2020-03-11,82989947.18149997,0
2020-03-12,82989947.18149997,0
2020-03-13,84923842.66914998,20
2020-03-16,81130364.66914998,20
2020-03-17,81280288.40414998,18
2020-03-18,75537766.25814998,12
2020-03-19,70522899.64009997,3
2020-03-20,71202499.64009997,3
2020-03-23,70570399.87784997,2
2020-03-24,70937239.87784997,2
2020-03-25,71012839.87784997,2
2020-03-26,70988249.87784997,2
2020-03-27,71137109.87784997,2
2020-03-30,71494509.87784997,2
2020-03-31,71685769.87784997,2
2020-04-01,71723249.87784997,2
2020-04-02,72102899.87784997,2
2020-04-03,71863899.87784997,2
2020-04-06,72110289.87784997,2
2020-04-07,71908159.87784997,2
2020-04-08,71709029.87784997,2
2020-04-09,71856029.87784997,2
2020-04-10,71955289.87784997,2
2020-04-13,69200262.59184997,20
2020-04-14,70052256.09709996,18
2020-04-16,70569393.70659997,15
2020-04-17,72880703.70659997,15
2020-04-20,70983269.11409996,13
2020-04-21,70389952.11409996,13
2020-04-22,71074627.11409996,13
2020-04-23,71678523.11409996,13
2020-04-24,71034996.11409996,13
2020-04-27,71394566.11409996,13
2020-04-28,71137388.77959996,12
2020-04-29,71281611.77959996,12
2020-05-04,70749364.77959996,12
2020-05-06,71927744.77959996,12
2020-05-07,72603417.77959996,12
2020-05-08,73276407.77959996,12
2020-05-11,73539164.77959996,12
2020-05-12,73619081.85614997,11
2020-05-13,74602163.85614997,11
2020-05-14,75058965.85614997,11
2020-05-15,74760462.85614997,11
2020-05-18,73258135.75944996,20
2020-05-19,73883114.95769995,19
2020-05-20,75358741.95769995,19
2020-05-21,75276995.95769995,19
2020-05-22,74975867.95769995,19
2020-05-25,76578378.95769995,19
2020-05-26,78285520.95769995,19
2020-05-27,78414879.95769995,19
2020-05-28,77185240.15769996,18
2020-05-29,77737075.39769995,17
2020-06-01,78549055.39769995,17
2020-06-02,77812709.67519996,16
2020-06-03,76720623.67519996,16
2020-06-04,77535834.67519996,16
2020-06-05,77425170.67519996,16
2020-06-08,77832046.95019996,15
2020-06-09,79019844.95019996,15
2020-06-10,80663352.95019996,15
2020-06-11,82841580.45019996,13
2020-06-12,81364573.45119996,11
2020-06-15,79192990.99134997,5
2020-06-16,80788537.28649996,20
2020-06-17,80692208.54899997,19
2020-06-18,81685349.54899997,19
2020-06-19,81390851.80649996,18
2020-06-22,81842123.80649996,18
2020-06-23,80830956.80649996,18
2020-06-24,81370344.80649996,18
2020-06-25,80807374.80649996,18
2020-06-26,81282890.80649996,18
2020-06-29,81799753.80149996,16
2020-06-30,82042332.80149996,16
2020-07-01,81634729.36949995,15
2020-07-02,83267952.36949995,15
2020-07-03,83965146.36949995,15
2020-07-06,84140749.36949995,15
2020-07-07,84134582.08389996,13
2020-07-08,83348860.40264997,12
2020-07-09,83784689.40264997,12
2020-07-10,84456426.96264997,11
2020-07-13,84344356.96264997,11
2020-07-14,83992015.96264997,11
2020-07-15,84019594.24764997,20
2020-07-16,83002094.24764997,20
2020-07-17,86669091.33014998,19
2020-07-20,91997193.62734997,17
2020-07-21,96132551.62734997,17
2020-07-22,102298271.62614998,16
2020-07-23,102203757.60114998,14
2020-07-24,97625452.77614997,12
2020-07-27,99834340.25114998,11
2020-07-28,100244397.25114998,11
2020-07-29,100003045.25114998,11
2020-07-30,99191619.25114998,11
2020-07-31,97789567.54014999,9
2020-08-03,98456250.15214998,8
2020-08-04,99245937.15214998,8
2020-08-05,100444303.15214998,8
2020-08-06,100348003.76364999,7
2020-08-07,100291441.76364999,7
2020-08-10,100028299.76364999,7
2020-08-11,99695860.31364998,6
2020-08-12,99684629.31364998,6
2020-08-13,99718693.86045,20
2020-08-14,98850143.86045,20
2020-08-18,95673713.10444999,15
2020-08-19,97111153.10444999,15
2020-08-20,97551257.2189,13
2020-08-21,97062128.2189,13
2020-08-24,100258021.2189,13
2020-08-25,104513853.2189,13
2020-08-26,108360690.2189,13
2020-08-27,105471241.9945,11
2020-08-28,105237930.8445,10
2020-08-31,106795742.8445,10
2020-09-01,107608810.8445,10
2020-09-02,108707182.8445,10
2020-09-03,110393552.8445,10
2020-09-04,109523353.8445,10
2020-09-07,109004699.8445,10
2020-09-08,108584948.64449999,9
2020-09-09,106660943.90765,6
2020-09-10,107110066.90765,6
2020-09-11,108034125.90765,6
2020-09-14,105711047.45195,19
2020-09-15,105714155.45195,19
2020-09-16,105051844.45195,19
2020-09-17,103007243.82085,17
2020-09-18,109481089.82085,17
2020-09-21,105794430.84265,12
2020-09-22,101479117.5755,7
2020-09-23,101446996.4745,5
2020-09-24,100839597.4129,3
2020-09-25,100283183.7529,2
2020-09-28,100696413.7529,2
2020-09-29,100889413.7529,2
2020-10-05,99331597.8314,1
2020-10-06,99312317.8314,1
2020-10-07,99321957.8314,1
2020-10-08,99341217.8314,1
2020-10-12,99302677.8314,1
2020-10-13,99312317.8314,1
2020-10-14,99244857.8314,1
2020-10-15,99244857.8314,1
2020-10-16,99187017.8314,1
2020-10-19,98241537.81125,20
2020-10-20,97094415.81125,20
2020-10-21,99662090.81125,20
2020-10-22,96299064.2447,18
2020-10-23,96209561.79095,17
2020-10-26,92367824.68795,13
2020-10-27,92429403.68795,13
2020-10-28,94263714.68795,13
2020-10-29,94235750.68795,13
2020-10-30,92107213.32895,12
2020-11-02,92797238.32895,12
2020-11-03,94355539.32895,12
2020-11-04,93436558.32895,12
2020-11-05,95349363.32895,12
2020-11-06,95637103.32895,12
2020-11-09,97939343.32895,12
2020-11-10,95960219.59895,11
2020-11-11,93269015.74395,8
2020-11-12,93214210.24395,7
2020-11-13,92413887.36895,6
2020-11-16,92288445.07855,5
2020-11-17,92991703.92844999,20
2020-11-18,94184395.92844999,20
2020-11-19,94389714.92844999,20
2020-11-20,94449538.92844999,20
2020-11-23,93803762.92844999,20
2020-11-24,94832705.92844999,20
2020-11-25,93244501.92844999,20
2020-11-26,93841998.92844999,20
2020-11-27,94552810.92844999,20
2020-11-30,94524829.92844999,19
2020-12-01,94821496.92844999,19
2020-12-02,96344094.92844999,19
2020-12-03,96238514.56269999,17
2020-12-04,95170930.78029999,16
2020-12-07,95175417.0383,15
2020-12-08,94286961.03289999,13
2020-12-09,94434039.0379,12
2020-12-10,94273059.0379,12
2020-12-11,92123462.73789999,9
2020-12-14,91993985.73789999,9
2020-12-15,91757851.73789999,9
2020-12-16,91544275.86044998,20
2020-12-17,91624817.18544999,18
2020-12-18,91195662.18544999,18
2020-12-21,89646487.29619998,13
2020-12-22,86453212.98119998,10
2020-12-23,86150478.98119998,10
2020-12-24,86493680.98119998,10
2020-12-28,86101435.96119997,9
2020-12-29,87185922.96119997,9
2020-12-30,87429939.96119997,9
2021-01-04,89151010.96119997,9
2021-01-05,89132068.96119997,9
2021-01-06,88726101.96119997,9
2021-01-07,89061879.96119997,9
2021-01-08,88608984.96119997,9
2021-01-11,86949851.96119997,9
2021-01-12,86598340.96119997,9
2021-01-13,87011454.96119997,9
2021-01-14,86951644.96119997,9
2021-01-15,86363013.48329997,7
2021-01-18,85375807.48329997,5
2021-01-19,87075625.66004997,20
2021-01-20,88195213.66004997,20
2021-01-21,89594504.66004997,20
2021-01-22,91573762.52004997,18
2021-01-25,90623536.56004997,17
2021-01-26,89859136.56004997,17
2021-01-27,89057081.76004997,16
2021-01-28,86891670.82404996,12
2021-01-29,84729399.22954997,9
2021-02-01,85623460.67204997,8
2021-02-02,85781058.67204997,8
2021-02-03,86434845.67204997,8
2021-02-04,86391866.67204997,8
2021-02-05,86261771.67204997,8
2021-02-08,86074362.67204997,8
2021-02-09,85985925.67204997,8
2021-02-10,85714546.80769998,6
2021-02-15,86261692.80769998,6
2021-02-16,85736158.80769998,6
2021-02-17,85530599.34219998,5
2021-02-18,85228054.09219998,4
2021-02-19,84839639.15484996,20
2021-02-22,84493553.15484996,19
2021-02-23,84941041.75484997,18
2021-02-24,83575969.08734997,15
2021-02-25,85283996.08734997,15
2021-02-26,84449435.08734997,15
2021-03-02,84964115.26734996,14
2021-03-03,85564038.26734996,14
2021-03-04,84413471.52454996,11
2021-03-05,85248397.24454996,10
2021-03-08,84073823.30589996,9
2021-03-09,82837693.80039996,8
2021-03-10,83158947.02439997,7
2021-03-11,82797887.02439997,7
2021-03-12,82957237.02439997,7
2021-03-15,83488397.02439997,7
2021-03-16,85331177.02439997,7
2021-03-17,84819197.02439997,7
2021-03-18,85589447.02439997,7
2021-03-19,86390067.02439997,7
2021-03-22,87107187.02439997,7
2021-03-23,85318312.35844997,20
2021-03-24,85269585.35844997,20
2021-03-25,85052908.43844996,18
2021-03-26,87166955.43844996,18
2021-03-29,85985246.27044997,17
2021-03-30,85563256.19544996,16
2021-03-31,85235174.19544996,16
2021-04-01,85117297.06294996,15
2021-04-02,84368504.06294996,15
2021-04-05,83466498.06294996,15
2021-04-06,83343076.32019997,14
2021-04-07,83512600.32019997,14
2021-04-08,84533852.32019997,14
2021-04-09,85803924.32019997,14
2021-04-12,86156673.95309997,13
2021-04-13,86145283.95309997,13
2021-04-14,87020557.95309997,13
2021-04-15,85982141.95309997,13
2021-04-16,86206369.95309997,13
2021-04-19,86539891.95309997,13
2021-04-20,86828213.95309997,13
2021-04-21,86658389.67409995,20
2021-04-22,86816661.55409996,19
2021-04-23,86594979.55409996,19
2021-04-26,87169296.55409996,19
2021-04-27,86004792.05409996,16
2021-04-28,84479498.95409995,14
2021-04-29,84863034.95409995,14
2021-04-30,83620220.07649995,13
2021-05-03,82922058.91649996,12
2021-05-04,82536218.57149996,10
2021-05-06,84839475.57149996,10
2021-05-07,84932918.57149996,10
2021-05-10,85540672.57149996,10
2021-05-11,84920627.57149996,10
2021-05-12,84225682.67149997,8
2021-05-13,82752272.35799995,6
2021-05-14,82714803.40999997,5
2021-05-17,82676493.40999997,5
2021-05-18,82749063.40999997,5
2021-05-20,83099690.40999997,5
2021-05-21,82865535.40999997,5
2021-05-24,82167705.68124998,20
2021-05-25,83319858.44124997,19
2021-05-26,83023631.44124997,19
2021-05-27,83022061.44124997,19
2021-05-28,83479674.44124997,19
2021-05-31,83247625.71999997,18
2021-06-01,85701685.71999997,18
2021-06-02,86139195.71999997,18
2021-06-03,86245679.71999997,18
2021-06-04,85022665.71999997,18
2021-06-07,84177749.54749997,15
2021-06-08,84202088.35999997,14
2021-06-09,83311036.35999997,14
2021-06-10,83326929.08499998,12
2021-06-11,83956656.08499998,12
2021-06-14,84272158.08499998,12
2021-06-15,84480848.08499998,12
2021-06-16,84355758.08499998,12
2021-06-17,84546838.08499998,12
2021-06-18,84946173.08499998,12
2021-06-21,83739872.31049997,11
2021-06-22,84659844.14224997,20
2021-06-23,83693341.10474998,19
2021-06-24,87022833.10474998,19
2021-06-25,87848154.10474998,19
2021-06-28,89469084.10474998,19
2021-06-29,88326683.95474997,17
2021-06-30,87646507.25724998,16
2021-07-01,86893643.33224998,14
2021-07-02,86858526.33224998,14
2021-07-05,85882186.00824998,13
2021-07-06,86056642.00824998,13
2021-07-07,85703968.75214998,11
2021-07-08,85269098.75214998,11
2021-07-09,85059821.22964999,10
2021-07-12,85728480.22964999,10
2021-07-13,86950810.22964999,10
2021-07-14,86537872.84964998,9
2021-07-15,86891667.84964998,9
2021-07-16,86494542.84964998,9
2021-07-19,86430835.23474997,7
2021-07-20,86180440.12349999,6
2021-07-21,84786114.19454995,20
2021-07-22,85788759.77899995,19
2021-07-23,85634411.77899995,19
2021-07-26,84805780.77899995,19
2021-07-27,86171718.77899995,19
2021-07-28,85683145.77899995,19
2021-07-29,85603666.77899995,19
2021-07-30,85073347.77899995,19
2021-08-02,83854650.08149996,18
2021-08-03,82630645.54249996,15
2021-08-04,83121851.54249996,15
2021-08-05,83703951.54249996,15
2021-08-06,83036234.54249996,15
2021-08-09,82665533.40874995,14
2021-08-10,81636286.24864995,13
2021-08-11,81453531.85964996,10
2021-08-12,82149541.85964996,10
2021-08-13,81296360.49964996,9
2021-08-17,79605279.17184997,4
2021-08-18,79736806.17184997,4
2021-08-19,79293918.32184996,3
2021-08-20,77032917.88319995,20
2021-08-23,79440773.88319995,20
2021-08-24,82049881.88319995,20
2021-08-25,82599406.88319995,20
2021-08-26,82287442.88319995,20
2021-08-27,83184024.88319995,20
2021-08-30,84874321.88319995,20
2021-08-31,84543078.88319995,20
2021-09-01,86100154.88319995,20
2021-09-02,85546110.98734994,19
2021-09-03,84622013.98734994,19
2021-09-06,84561997.39994994,17
2021-09-07,84537260.39994994,17
2021-09-08,85014168.39994994,17
2021-09-09,85929333.39994994,17
2021-09-10,87921513.39994994,17
2021-09-13,86974598.04794994,15
2021-09-14,87522417.45794995,14
2021-09-15,87153004.95294994,13
2021-09-16,86860496.06294996,12
2021-09-17,87147151.12794995,11
2021-09-23,85649068.14569995,20
2021-09-24,87150457.14569995,20
2021-09-27,88429036.14569995,20
2021-09-28,85711178.89569995,18
2021-09-29,85003772.57569996,17
2021-09-30,84917286.56569995,15
2021-10-01,83878285.56569995,15
2021-10-05,81826650.51319996,8
2021-10-06,79777097.05119994,3
2021-10-07,80328097.05119994,3
2021-10-08,81026067.05119994,3
2021-10-12,81095917.05119994,3
2021-10-13,81241667.05119994,3
2021-10-14,81391667.05119994,3
2021-10-15,80912007.05119994,3
2021-10-18,81126817.05119994,3
2021-10-19,81350557.05119994,3
2021-10-20,81146657.05119994,3
2021-10-21,81075597.05119994,3
2021-10-22,80896647.05119994,3
2021-10-25,80914467.05119994,3
2021-10-26,80643630.47939993,20
2021-10-27,78812575.82939994,19
2021-10-28,77555775.82939994,19
2021-10-29,77602137.82939994,19
2021-11-01,77524829.24129993,17
2021-11-02,78257191.24129993,17
2021-11-03,77809191.03129993,15
2021-11-04,77630062.39069994,13
2021-11-05,77127939.41019994,11
2021-11-08,76598850.95019993,10
2021-11-09,76290919.32219994,8
2021-11-10,75078222.47419994,6
2021-11-11,75362812.47419994,6
2021-11-12,76617852.47419994,6
2021-11-15,76329002.47419994,6
2021-11-16,75591840.27419993,4
2021-11-17,75550903.05669993,3
2021-11-18,75655903.05669993,3
2021-11-19,75825903.05669993,3
2021-11-22,75364353.05669993,3
2021-11-23,75739603.05669993,3
2021-11-24,76088997.87759992,20
2021-11-25,74891966.87759992,20
2021-11-26,73478831.87759992,20
2021-11-29,70975379.32909992,17
2021-11-30,69293416.94359994,11
2021-12-01,69867698.50359994,10
2021-12-02,70620390.50359994,10
2021-12-03,72327441.50359994,10
2021-12-06,72052989.50359994,10
2021-12-07,72365614.50359994,10
2021-12-08,72120207.50359994,10
2021-12-09,72892821.50359994,10
2021-12-10,72056740.50359994,10
2021-12-13,71239172.50359994,10
2021-12-14,71070212.84809995,8
2021-12-15,70730171.40809995,7
2021-12-16,70822601.40809995,7
2021-12-17,70681142.40809995,7
2021-12-20,69862725.80809994,6
2021-12-21,70195320.80809994,6
2021-12-22,70061142.30809994,5
2021-12-23,69428519.00209995,20
2021-12-24,70050303.00209995,20
2021-12-27,68783370.72459994,19
2021-12-28,69248905.72459994,19
2021-12-29,70512425.72459994,19
2021-12-30,71006661.72459994,19
2022-01-03,71499813.72459994,19
2022-01-04,71589657.72459994,19
2022-01-05,70084851.40459995,18
2022-01-06,68862682.48809995,12
2022-01-07,70086641.48809995,12
2022-01-10,69242735.48809995,12
2022-01-11,68423124.39269996,10
2022-01-12,69116124.39269996,10
2022-01-13,70023554.39269996,10
2022-01-14,69752934.39269996,10
2022-01-17,69620247.39269996,9
2022-01-18,69145814.81219995,7
2022-01-19,68885311.45619994,6
2022-01-20,69560111.45619994,6
2022-01-21,69107511.45619994,6
2022-01-24,66724014.223649964,20
2022-01-25,63984102.82164996,17
2022-01-26,64559318.10914996,16
2022-01-27,62405386.05439996,12
2022-01-28,63119165.05439996,12
2022-02-03,63553974.03439996,11
2022-02-04,64059548.03439996,11
2022-02-07,64129350.03439996,11
2022-02-08,63471142.46439996,10
2022-02-09,64441808.46439996,10
2022-02-10,64013049.46439996,10
2022-02-11,63260388.880399965,8
2022-02-14,62195047.07679997,7
2022-02-15,61752278.204299964,5
2022-02-16,62347348.204299964,5
2022-02-17,62415433.204299964,5
2022-02-18,62986563.204299964,5
2022-02-21,62950058.204299964,5
2022-02-22,62350919.04429996,4
2022-02-23,62784059.04429996,4
2022-02-24,62611589.04429996,4
2022-02-25,63836598.02644996,20
2022-02-28,64996472.02644996,20
2022-03-02,66081241.02644996,20
2022-03-03,67047660.02644996,20
2022-03-04,67019816.43644997,19
2022-03-07,65820750.16144997,18
2022-03-08,63873239.84769997,16
2022-03-10,63810586.84769997,16
2022-03-11,64834661.75449997,13
2022-03-14,64095954.73399997,11
2022-03-15,63198997.551249966,8
2022-03-16,63098940.301249966,7
2022-03-17,63169460.301249966,7
2022-03-18,63017320.301249966,7
2022-03-21,62359992.56124997,5
2022-03-22,62353692.56124997,5
2022-03-23,63153182.56124997,5
2022-03-24,63373659.06124997,4
2022-03-25,63164809.06124997,4
2022-03-28,63208929.06124997,4
2022-03-29,62824719.06124997,4
2022-03-30,62307824.85519998,20
2022-03-31,63076487.85519998,20
2022-04-01,62799010.30769998,19
2022-04-04,63239937.17269997,18
2022-04-05,63366705.17269997,18
2022-04-06,63373323.17269997,18
2022-04-07,62688809.17269997,18
2022-04-08,63587134.17269997,18
2022-04-11,62762831.12194998,16
2022-04-12,63146390.19694997,15
2022-04-13,63687122.19694997,15
2022-04-14,63982327.19694997,15
2022-04-15,64016610.19694997,15
2022-04-18,64080843.19694997,15
2022-04-19,64841049.19694997,15
2022-04-20,64681851.19694997,15
2022-04-21,65560382.19694997,15
2022-04-22,66093388.19694997,15
2022-04-25,63816240.226949975,12
2022-04-26,63487317.226949975,12
2022-04-27,63193384.491949975,11
2022-04-28,62399293.24049998,20
2022-04-29,62763253.24049998,20
2022-05-02,63042171.24049998,20
2022-05-03,63655043.630499974,19
2022-05-04,63873609.520499974,18
2022-05-06,63757354.91799998,17
2022-05-09,62387741.14994998,12
2022-05-10,61879031.14994998,12
2022-05-11,61262384.76994998,11
2022-05-12,60228980.377949975,6
2022-05-13,60441180.377949975,6
2022-05-16,60926253.377949975,6
2022-05-17,60858075.377949975,6
2022-05-18,60239891.79794998,5
2022-05-19,59991003.79794998,5
2022-05-20,60156781.79794998,5
2022-05-23,59765958.237949975,4
2022-05-24,59677448.04144997,3
2022-05-25,59793928.04144997,3
2022-05-26,59672818.04144997,3
2022-05-27,59671286.62444997,2
2022-05-30,59472830.58344996,20
2022-05-31,59608044.58344996,20
2022-06-02,59369202.58344996,20
2022-06-03,58060097.58344996,20
2022-06-07,57451540.58344996,20
2022-06-08,56945041.37944996,19
2022-06-09,56376366.214449964,17
2022-06-10,55838609.16444996,16
2022-06-13,53915771.67089996,7
2022-06-14,54081711.09089996,6
2022-06-15,53835785.09089996,6
2022-06-16,54292273.09089996,6
2022-06-17,54360151.68089996,5
2022-06-20,54213468.68089996,5
2022-06-21,53926271.68089996,5
2022-06-22,53317852.47449996,3
2022-06-23,52274137.58499996,0
2022-06-24,52274137.58499996,0
2022-06-27,52274137.58499996,0
2022-06-28,52274137.58499996,0
2022-06-29,52274137.58499996,0
2022-06-30,50335694.69159997,20
2022-07-01,49300598.914899975,18
2022-07-04,48430726.462399974,15
2022-07-05,49718812.462399974,15
2022-07-06,48407850.462399974,15
2022-07-07,49525864.462399974,15
2022-07-08,50385178.462399974,15
2022-07-11,51079094.462399974,15
2022-07-12,50659684.77764997,14
2022-07-13,50945116.47264998,13
2022-07-14,50931338.47264998,13
2022-07-15,51320058.24764997,12
2022-07-18,53615440.24764997,12
2022-07-19,53348004.24764997,12
2022-07-20,53321866.24764997,12
2022-07-21,50807888.04014997,10
2022-07-22,50657960.04014997,10
2022-07-25,50954796.04014997,10
2022-07-26,51136378.04014997,10
2022-07-27,51128859.04014997,10
2022-07-28,51061567.04014997,10
2022-07-29,51712403.217699975,20
2022-08-01,52358160.217699975,20
2022-08-02,52115598.217699975,20
2022-08-03,52290075.217699975,20
2022-08-04,51710203.397699974,19
2022-08-05,51352448.25349997,18
2022-08-08,52078613.25349997,18
2022-08-09,52027638.25349997,18
2022-08-10,52490450.25349997,18
2022-08-11,52941921.25349997,18
2022-08-12,53365627.25349997,18
2022-08-16,53009464.053499974,17
2022-08-17,53342961.20349997,16
2022-08-18,53800369.20349997,16
2022-08-19,52904569.78349997,15
2022-08-22,52691343.31544997,13
2022-08-23,53010912.51544997,12
2022-08-24,53200894.51544997,12
2022-08-25,53779958.51544997,12
2022-08-26,53937682.51544997,12
2022-08-29,53484794.56544997,11
2022-08-30,53698742.25104997,20
2022-08-31,54263562.25104997,20
2022-09-01,52607713.07754997,18
2022-09-02,52652745.83804997,17
2022-09-05,52376089.94804997,15
2022-09-06,52883539.94804997,15
2022-09-07,52799388.84804997,13
2022-09-08,52754348.84804997,13
2022-09-13,53061710.778049976,11
2022-09-14,52945845.778049976,11
2022-09-15,53354310.778049976,11
2022-09-16,53289220.778049976,11
2022-09-19,52412896.61004998,9
2022-09-20,52405971.61004998,9
2022-09-21,52217686.61004998,9
2022-09-22,52348681.64254998,8
2022-09-23,52079458.24704997,6
2022-09-26,51625264.097049974,5
2022-09-27,51469672.92204998,4
2022-09-28,51565547.92204998,4
2022-09-29,51831472.92204998,4
2022-09-30,52304751.93054998,20
2022-10-04,54603861.93054998,20
2022-10-05,54953836.93054998,20
2022-10-06,56011602.93054998,20
2022-10-07,55717364.93054998,20
2022-10-11,54455126.93054998,20
2022-10-12,54098055.090549976,18
2022-10-13,51340397.90904997,9
2022-10-14,51966822.90904997,9
2022-10-17,52218432.90904997,9
2022-10-18,52724267.90904997,9
2022-10-19,52697342.90904997,9
2022-10-20,52646602.90904997,9
2022-10-21,52376308.42904997,8
2022-10-24,52830158.42904997,8
2022-10-25,52781518.42904997,8
2022-10-26,52656293.42904997,8
2022-10-27,52846698.42904997,8
2022-10-28,53035618.42904997,8
2022-10-31,53199768.42904997,8
2022-11-01,53617058.42904997,8
2022-11-02,53443249.81379998,20
2022-11-03,54059349.81379998,20
2022-11-04,54002854.81379998,20
2022-11-07,53706095.81379998,20
2022-11-08,53882135.81379998,20
2022-11-09,55294752.81379998,20
2022-11-10,54190013.846299976,19
2022-11-11,55047089.846299976,19
2022-11-14,55187556.04629998,18
2022-11-15,56378829.84379998,16
2022-11-16,56986884.84379998,16
2022-11-17,56868614.84299998,15
2022-11-18,56684879.52424998,13
2022-11-21,55988700.68174998,12
2022-11-22,56254095.68174998,12
2022-11-23,56555240.68174998,12
2022-11-24,57067985.68174998,12
2022-11-25,57438755.68174998,12
2022-11-28,56939293.58424997,11
2022-11-29,57405133.58424997,11
2022-11-30,57829308.58424997,11
2022-12-01,57904638.60169998,20
2022-12-02,57250792.60169998,20
2022-12-05,56142990.27419998,19
2022-12-06,55190631.95419998,18
2022-12-07,54996091.934199974,16
2022-12-08,54518871.66619998,14
2022-12-09,54417869.74619998,13
2022-12-12,54521836.74619998,13
2022-12-13,54851932.74619998,13
2022-12-14,54963379.74619998,13
2022-12-15,54926387.74619998,13
2022-12-16,53599553.697199985,12
2022-12-19,53592659.697199985,12
2022-12-20,53312485.303699985,10
2022-12-21,53246693.303699985,10
2022-12-22,53347527.303699985,10
2022-12-23,52702613.303699985,10
2022-12-26,53037219.303699985,10
2022-12-27,53512599.303699985,10
2022-12-28,53354344.10369998,9
2022-12-29,52736302.52169998,8
2023-01-02,53069766.07034999,20
2023-01-03,53552392.07034999,20
2023-01-04,54139590.07034999,20
2023-01-05,54215117.182349995,19
2023-01-06,54587990.182349995,19
2023-01-09,55562735.182349995,19
2023-01-10,55856339.182349995,19
2023-01-11,56585224.182349995,19
2023-01-12,57082688.182349995,19
2023-01-13,57224851.182349995,19
2023-01-16,57220459.182349995,19
2023-01-17,57048665.182349995,19
2023-01-18,56100142.182349995,19
2023-01-19,55800957.270899996,17
2023-01-20,56327079.44589999,16
2023-01-25,56129008.44589999,15
2023-01-26,56520510.44589999,15
2023-01-27,56835492.44589999,15
2023-01-30,56959749.44589999,15
2023-01-31,57391195.44589999,15
2023-02-01,57454237.44589999,15
2023-02-02,57278785.3905,20
2023-02-03,57494504.3905,20
2023-02-06,57849722.3905,20
2023-02-07,57810659.3905,20
2023-02-08,57700149.3905,20
2023-02-09,57548197.5005,19
2023-02-10,57558125.1445,18
2023-02-13,57971828.1445,18
2023-02-14,58370110.1445,18
2023-02-15,58328152.619500004,17
