date,regime,exposure_ratio,total_eq,n_target,n_held,n_new_buys,intended_per_pos,cash_before,cash_ratio,skip_buys
2020-01-10,SIDE,1.0,500000000,20,0,20,25000000,500000000,1.0,False
2020-02-12,SIDE,1.0,495867478,20,11,7,24793374,217609722,0.4388,False
2020-03-12,BEAR,0.0,455230090,20,2,0,0,405705374,0.8912,True
2020-04-10,BEAR,0.0,450992911,20,0,0,0,450992911,1.0,True
2020-05-15,BEAR,0.0,450992911,20,0,0,0,450992911,1.0,True
2020-06-15,BEAR,0.0,450992911,20,0,0,0,450992911,1.0,True
2020-07-14,SIDE,1.0,450992911,20,0,20,22549646,450992911,1.0,False
2020-08-12,SIDE,1.0,482324085,20,13,7,24116204,179857216,0.3729,False
2020-09-11,BULL,1.0,464970661,20,8,12,23248533,270080631,0.5809,False
2020-10-16,BULL,1.0,429760956,20,2,18,21488048,394301956,0.9175,False
2020-11-16,BULL,1.0,428774616,20,10,10,21438731,215422310,0.5024,False
2020-12-15,BULL,1.0,440049567,20,12,8,22002478,180219778,0.4095,False
2021-01-18,BULL,1.0,474794570,20,12,8,23739729,201000104,0.4233,False
2021-02-18,BULL,1.0,500563336,20,8,12,25028167,295527736,0.5904,False
2021-03-22,BULL,1.0,469819260,20,4,16,23490963,366086910,0.7792,False
2021-04-20,BULL,1.0,503482761,20,5,15,25174138,372789013,0.7404,False
2021-05-21,BULL,1.0,501226106,20,7,13,25061305,313226411,0.6249,False
2021-06-21,BULL,1.0,501943299,20,7,13,25097165,303878839,0.6054,False
2021-07-20,BULL,1.0,492384517,20,9,11,24619226,274250909,0.557,False
2021-08-19,SIDE,1.0,484808941,20,4,16,24240447,401963761,0.8291,False
2021-09-17,SIDE,1.0,509365231,20,10,10,25468262,263003510,0.5163,False
2021-10-25,SIDE,1.0,505492322,20,6,14,25274616,349081172,0.6906,False
2021-11-23,BEAR,0.0,472170087,20,7,0,0,301920667,0.6394,True
2021-12-22,BEAR,0.0,461940185,20,1,0,0,434732735,0.9411,True
2022-01-24,BEAR,0.0,462996785,20,1,0,0,434732735,0.939,True
2022-02-25,BEAR,0.0,464728435,20,1,0,0,434732735,0.9355,True
2022-03-30,BEAR,0.0,467546035,20,1,0,0,434732735,0.9298,True
2022-04-28,SIDE,1.0,469189635,20,1,19,23459482,434732735,0.9266,False
2022-05-31,BEAR,0.0,463092496,20,11,0,0,191460546,0.4134,True
2022-07-01,BEAR,0.0,450796247,20,3,0,0,359471847,0.7974,True
2022-08-01,BEAR,0.0,458398697,20,3,0,0,359471847,0.7842,True
2022-08-31,BEAR,0.0,459379247,20,3,0,0,359471847,0.7825,True
2022-10-04,BEAR,0.0,457422470,20,2,0,0,381753920,0.8346,True
2022-11-03,BEAR,0.0,461915217,20,1,0,0,404095717,0.8748,True
2022-12-02,BEAR,0.0,471600717,20,1,0,0,404095717,0.8569,True
2023-01-03,BEAR,0.0,468372217,20,1,0,0,404095717,0.8628,True
2023-02-03,SIDE,1.0,472950817,20,1,19,23647541,404095717,0.8544,False
2023-03-07,SIDE,1.0,473141916,20,14,6,23657096,138531956,0.2928,False
2023-04-05,SIDE,1.0,473736540,20,10,10,23686827,218094590,0.4604,False
2023-05-08,SIDE,1.0,443337294,20,10,10,22166865,209485894,0.4725,False
2023-06-08,SIDE,1.0,427690669,20,11,9,21384533,208250849,0.4869,False
2023-07-07,SIDE,1.0,408301385,20,8,12,20415069,237593635,0.5819,False
2023-08-07,SIDE,1.0,420331862,20,10,10,21016593,192975912,0.4591,False
2023-09-06,SIDE,1.0,419468947,20,13,7,20973447,125486807,0.2992,False
2023-10-12,BEAR,0.0,416148604,20,10,0,0,191773582,0.4608,True
2023-11-10,BEAR,0.0,404620009,20,5,0,0,291117909,0.7195,True
2023-12-11,SIDE,1.0,400300549,20,3,17,20015027,331155349,0.8273,False
2024-01-12,BEAR,0.0,392802782,20,12,0,0,147075958,0.3744,True
2024-02-14,SIDE,1.0,409062422,20,6,14,20453121,267660322,0.6543,False
2024-03-15,SIDE,1.0,420328739,20,8,12,21016437,256663639,0.6106,False
2024-04-16,SIDE,1.0,392871417,20,1,19,19643571,368010017,0.9367,False
2024-05-20,SIDE,1.0,431672640,20,13,7,21583632,152483420,0.3532,False
2024-06-19,SIDE,1.0,427629276,20,11,9,21381464,182233456,0.4261,False
2024-07-18,SIDE,1.0,444347466,20,11,9,22217373,185760446,0.4181,False
2024-08-19,SIDE,1.0,413842676,20,4,16,20692134,320569616,0.7746,False
2024-09-20,BEAR,0.0,413379831,20,11,0,0,168713051,0.4081,True
2024-10-24,BEAR,0.0,416712768,20,7,0,0,250877948,0.602,True
2024-11-22,BEAR,0.0,416034795,20,6,0,0,270441265,0.65,True
2024-12-23,BEAR,0.0,416903458,20,5,0,0,295302408,0.7083,True
2025-01-24,BEAR,0.0,415662450,20,4,0,0,314941700,0.7577,True
2025-02-28,BEAR,0.0,419884720,20,2,0,0,359528420,0.8563,True
2025-04-01,BEAR,0.0,418212620,20,2,0,0,359528420,0.8597,True
2025-04-30,SIDE,1.0,414605263,20,0,20,20730263,414605263,1.0,False
2025-06-04,BULL,1.0,422454501,20,9,11,21122725,227451142,0.5384,False
2025-07-04,BULL,1.0,463534912,20,8,12,23176746,273652312,0.5904,False
2025-08-04,BULL,1.0,477762364,20,4,16,23888118,383980164,0.8037,False
2025-09-03,BULL,1.0,464358984,20,11,9,23217949,201156254,0.4332,False
2025-10-02,SIDE,1.0,480146649,20,16,4,24007332,96399499,0.2008,False
2025-11-07,SIDE,1.0,497755720,20,11,9,24887786,214228300,0.4304,False
2025-12-08,SIDE,1.0,515953314,20,10,10,25797666,249160284,0.4829,False
2026-01-09,SIDE,1.0,511500583,20,13,7,25575029,178146423,0.3483,False
2026-02-09,BULL,1.0,590477117,20,10,10,29523856,278631467,0.4719,False
2026-03-16,SIDE,1.0,581631799,20,0,20,29081590,581631799,1.0,False
